09.03.2023, 13:10:45, ::1, GET, /Educatonmanager-Online/abgabe.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
09.03.2023, 13:11:24, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
09.03.2023, 13:11:29, ::1, GET, /Educatonmanager-Online/corona-lokal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
09.03.2023, 13:13:50, ::1, GET, /Educatonmanager-Online/corona-lokal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
09.03.2023, 13:14:46, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
09.03.2023, 13:15:21, ::1, GET, /Educatonmanager-Online/videokonferenz.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 09:48:56, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 11:18:42, ::1, GET, /Educatonmanager-Online/elternbriefe.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 11:18:45, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:21:05, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:43:17, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:59:04, ::1, GET, /Educatonmanager-Online/krankenmeldung.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:59:15, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:59:18, ::1, GET, /Educatonmanager-Online/internal.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
10.03.2023, 12:59:23, ::1, GET, /Educatonmanager-Online/krankenmeldung.php, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
